Region,Good,Material,value
OAS,Textile sector,Fibres,0.993475952
SSA,Textile sector,Fibres,0.996941762
EUR,Textile sector,Fibres,0.995635726
NEU,Textile sector,Fibres,0.995516973
MEA,Textile sector,Fibres,0.994539955
REF,Textile sector,Fibres,0.993829682
CAZ,Textile sector,Fibres,0.993781714
CHA,Textile sector,Fibres,0.994303039
IND,Textile sector,Fibres,0.992593017
JPN,Textile sector,Fibres,0.994195825
USA,Textile sector,Fibres,0.994214424
LAM,Textile sector,Elastomers (tyres),0
OAS,Textile sector,Elastomers (tyres),0
SSA,Textile sector,Elastomers (tyres),0
EUR,Textile sector,Elastomers (tyres),0
NEU,Textile sector,Elastomers (tyres),0
MEA,Textile sector,Elastomers (tyres),0
REF,Textile sector,Elastomers (tyres),0
CAZ,Textile sector,Elastomers (tyres),0
CHA,Textile sector,Elastomers (tyres),0
IND,Textile sector,Elastomers (tyres),0
JPN,Textile sector,Elastomers (tyres),0
USA,Textile sector,Elastomers (tyres),0
LAM,Textile sector,Others,0
OAS,Textile sector,Others,0
SSA,Textile sector,Others,0
EUR,Textile sector,Others,0
NEU,Textile sector,Others,0
MEA,Textile sector,Others,0
REF,Textile sector,Others,0
CAZ,Textile sector,Others,0
CHA,Textile sector,Others,0
IND,Textile sector,Others,0
JPN,Textile sector,Others,0
USA,Textile sector,Others,0
LAM,Textile sector,HDPE,0
OAS,Textile sector,HDPE,0
SSA,Textile sector,HDPE,0
EUR,Textile sector,HDPE,0
NEU,Textile sector,HDPE,0
MEA,Textile sector,HDPE,0
REF,Textile sector,HDPE,0
CAZ,Textile sector,HDPE,0
CHA,Textile sector,HDPE,0
IND,Textile sector,HDPE,0
JPN,Textile sector,HDPE,0
USA,Textile sector,HDPE,0
LAM,Textile sector,PET,0
OAS,Textile sector,PET,0
SSA,Textile sector,PET,0
EUR,Textile sector,PET,0
NEU,Textile sector,PET,0
MEA,Textile sector,PET,0
REF,Textile sector,PET,0
CAZ,Textile sector,PET,0
CHA,Textile sector,PET,0
IND,Textile sector,PET,0
JPN,Textile sector,PET,0
USA,Textile sector,PET,0
LAM,Textile sector,PP,0
OAS,Textile sector,PP,0
SSA,Textile sector,PP,0
EUR,Textile sector,PP,0
NEU,Textile sector,PP,0
MEA,Textile sector,PP,0
REF,Textile sector,PP,0
CAZ,Textile sector,PP,0
CHA,Textile sector,PP,0
IND,Textile sector,PP,0
JPN,Textile sector,PP,0
USA,Textile sector,PP,0
LAM,Textile sector,PS,0
OAS,Textile sector,PS,0
SSA,Textile sector,PS,0
EUR,Textile sector,PS,0
NEU,Textile sector,PS,0
MEA,Textile sector,PS,0
REF,Textile sector,PS,0
CAZ,Textile sector,PS,0
CHA,Textile sector,PS,0
IND,Textile sector,PS,0
JPN,Textile sector,PS,0
USA,Textile sector,PS,0
LAM,Textile sector,PUR,0
OAS,Textile sector,PUR,0
SSA,Textile sector,PUR,0
EUR,Textile sector,PUR,0
NEU,Textile sector,PUR,0
MEA,Textile sector,PUR,0
REF,Textile sector,PUR,0
CAZ,Textile sector,PUR,0
CHA,Textile sector,PUR,0
IND,Textile sector,PUR,0
JPN,Textile sector,PUR,0
USA,Textile sector,PUR,0
LAM,Textile sector,LDPE,0
OAS,Textile sector,LDPE,0
SSA,Textile sector,LDPE,0
EUR,Textile sector,LDPE,0
NEU,Textile sector,LDPE,0
MEA,Textile sector,LDPE,0
REF,Textile sector,LDPE,0
CAZ,Textile sector,LDPE,0
CHA,Textile sector,LDPE,0
IND,Textile sector,LDPE,0
JPN,Textile sector,LDPE,0
USA,Textile sector,LDPE,0
LAM,Textile sector,PVC,0
OAS,Textile sector,PVC,0
SSA,Textile sector,PVC,0
EUR,Textile sector,PVC,0
NEU,Textile sector,PVC,0
MEA,Textile sector,PVC,0
REF,Textile sector,PVC,0
CAZ,Textile sector,PVC,0
CHA,Textile sector,PVC,0
IND,Textile sector,PVC,0
JPN,Textile sector,PVC,0
USA,Textile sector,PVC,0
LAM,Household & Leisure & Sports,ABS_ASA_SAN,0.085159633
OAS,Household & Leisure & Sports,ABS_ASA_SAN,0.085181521
SSA,Household & Leisure & Sports,ABS_ASA_SAN,0.086917668
EUR,Household & Leisure & Sports,ABS_ASA_SAN,0.086176132
NEU,Household & Leisure & Sports,ABS_ASA_SAN,0.087374741
MEA,Household & Leisure & Sports,ABS_ASA_SAN,0.087107004
REF,Household & Leisure & Sports,ABS_ASA_SAN,0.086556979
CAZ,Household & Leisure & Sports,ABS_ASA_SAN,0.086792871
CHA,Household & Leisure & Sports,ABS_ASA_SAN,0.084412575
IND,Household & Leisure & Sports,ABS_ASA_SAN,0.083172871
JPN,Household & Leisure & Sports,ABS_ASA_SAN,0.086893662
USA,Household & Leisure & Sports,ABS_ASA_SAN,0.088014813
LAM,Household & Leisure & Sports,BioPlastics,0.003442151
OAS,Household & Leisure & Sports,BioPlastics,0.003443037
SSA,Household & Leisure & Sports,BioPlastics,0.00351331
EUR,Household & Leisure & Sports,BioPlastics,0.003483295
NEU,Household & Leisure & Sports,BioPlastics,0.0035318
MEA,Household & Leisure & Sports,BioPlastics,0.003520926
REF,Household & Leisure & Sports,BioPlastics,0.003498868
CAZ,Household & Leisure & Sports,BioPlastics,0.003508309
CHA,Household & Leisure & Sports,BioPlastics,0.003412039
IND,Household & Leisure & Sports,BioPlastics,0.003362047
JPN,Household & Leisure & Sports,BioPlastics,0.003512531
USA,Household & Leisure & Sports,BioPlastics,0.003557638
LAM,Household & Leisure & Sports,Fibres,0
OAS,Household & Leisure & Sports,Fibres,0
SSA,Household & Leisure & Sports,Fibres,0
EUR,Household & Leisure & Sports,Fibres,0
NEU,Household & Leisure & Sports,Fibres,0
MEA,Household & Leisure & Sports,Fibres,0
REF,Household & Leisure & Sports,Fibres,0
CAZ,Household & Leisure & Sports,Fibres,0
CHA,Household & Leisure & Sports,Fibres,0
IND,Household & Leisure & Sports,Fibres,0
JPN,Household & Leisure & Sports,Fibres,0
USA,Household & Leisure & Sports,Fibres,0
LAM,Household & Leisure & Sports,Elastomers (tyres),0
OAS,Household & Leisure & Sports,Elastomers (tyres),0
SSA,Household & Leisure & Sports,Elastomers (tyres),0
EUR,Household & Leisure & Sports,Elastomers (tyres),0
NEU,Household & Leisure & Sports,Elastomers (tyres),0
MEA,Household & Leisure & Sports,Elastomers (tyres),0
REF,Household & Leisure & Sports,Elastomers (tyres),0
CAZ,Household & Leisure & Sports,Elastomers (tyres),0
CHA,Household & Leisure & Sports,Elastomers (tyres),0
IND,Household & Leisure & Sports,Elastomers (tyres),0
JPN,Household & Leisure & Sports,Elastomers (tyres),0
USA,Household & Leisure & Sports,Elastomers (tyres),0
LAM,Household & Leisure & Sports,Others,0.084205946
OAS,Household & Leisure & Sports,Others,0.084236482
SSA,Household & Leisure & Sports,Others,0.085882589
EUR,Household & Leisure & Sports,Others,0.085329185
NEU,Household & Leisure & Sports,Others,0.086418944
MEA,Household & Leisure & Sports,Others,0.086072172
REF,Household & Leisure & Sports,Others,0.085548066
CAZ,Household & Leisure & Sports,Others,0.085854787
CHA,Household & Leisure & Sports,Others,0.083517169
